additions,assignees,AssignmentId,c_num,changed_files,CI_latency,CI_result,closer,collaborator_status,comments,commits,commits_on_files_touched,contributors_url,cores,deletions,experience,F_API_merged,F_Q1_core_s,F_Q1_other_s,F_Q1_support,F_Q2_a_core,F_Q2_a_other,F_Q2_alternate,F_Q3_dis_s,F_Q3_dis_s_bug,F_Q3_dis_s_constc,F_Q3_dis_s_improve,F_Q4_dis_p,F_Q4_dis_p_nf,F_Q4_dis_p_nv,F_Q5_implemented,F_Q5_merged,first_response,forks,HIT_ID,is_org,lables,mergeable_state,merged,milestones,num_comments,num_commits,open_issues,p_num,P1_Submitter,P2_Cores,P3_External,participants,perc_external_contribs,pr_link,prev_pullreqs,project_maturity,Q1_Support?,Q2_Alternate S?,Q3_Dis_Solution?,Q4_Dis_Problem?,Q5_Outcome?,requester_succ_rate,sloc,social_distance,src_churn,stars,submitter,submitter_status,team_size,watchers,WorkerId
37,0,3Y54SXRO1M9SBRVWRCT6ONQVBD2UTY,6,2,,0,,FALSE,6,1,5,https://github.com/emberjs/ember.js/graphs/contributors,"rwjblue, stefanpenner, wagenet",1,1314,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,949,3601,10004,0,0,dirty,FALSE,0,6,1,233,4,tchak,"rwjblue, stefanpenner, wagenet, wycats, ebryn, krisselden, mmun, tricknotes, mixonic, ef4","pangratz, devinus, tchak",5,0.19,https://github.com/emberjs/ember.js/pull/365,5,3601,"Y,others","Y,others","Y,bug",N,"Rej, not sure.",0.2,3333,0,38,17102,,1,9,17102,AMZVZJL54O491
0,0,32EYX73OY1XFVCI4NNOBO8PDNTHRUW,31,0,,0,,FALSE,31,0,0,https://github.com/tastejs/todomvc/graphs/contributors,"sindresorhus, passy, addyosmani",0,495,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,26,10904,10006,0,1,dirty,FALSE,1,31,0,123,3,mikaelkraaron,"sindresorhus, passy, addyosmani, arthurvr, samccone, stephenplusplus",none,3,1.4,https://github.com/tastejs/todomvc/pull/120,1,10903,"Y,core","Y,core",N,N,"Rej, not sure.",0,88,0,0,19087,,0,2,19088,AMZVZJL54O491
4142,0,3WMOAN2SRCLUTTFCZ6HZBAMM13CNV5,13,158,3,0,,FALSE,14,1,204,https://github.com/laravel/framework/graphs/contributors,"taylorotwell, GrahamCampbell, lucasmichot",4142,594,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4,3706,10007,0,0,dirty,FALSE,0,14,1,77,5,unknown repository,"taylorotwell, GrahamCampbell, lucasmichot, themsaid","RSully, jonphipps, zantx3",7,0.19,https://github.com/laravel/framework/pull/720,6,3706,N,N,"Y,improve",N,"Rej, implemented.",0.83,3807,1,8284,6197,,0,3,6197,ABFSVRWVFHZ6P
50,0,3QY5DC2MXS8ISMDVWSOH7JBUK4EFUV,21,3,,0,,TRUE,21,5,0,https://github.com/Quicksilver/quicksilver/graphs/contributors,"pjrobertson, skurfer, tiennou",11,527,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,11,253,10008,0,0,dirty,FALSE,0,21,5,336,5,pjrobertson,"pjrobertson, skurfer, tiennou, andreberg, HenningJ, craigotis, fheckl",BurningTyger,5,0.25,https://github.com/Quicksilver/quicksilver/pull/219,4,253,N,"Y,core","Y,bug|Y,improve","Y,not fit.","Rej, not sure.",0.75,2849,0,61,2072,,1,4,2072,AMZVZJL54O491
101,0,3ZR9AIQJUCXSEK4QE4EER8QWFRB043,4,7,,0,,TRUE,4,1,0,https://github.com/playframework/playframework/graphs/contributors,"jroper, pk11, guillaumebort",48,1169,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,843,2975,10009,0,0,dirty,FALSE,0,4,1,272,4,jroper,"jroper, pk11, guillaumebort","betehess,mandubian,mgibowski",6,0.13,https://github.com/playframework/playframework/pull/469,19,2975,"Y,others","Y,core","Y,improve",N,"Rej, implemented.",0.68,3798,0,149,8601,,1,10,8601,A1WTD5OHCQS3TG
436,0,3VHHR074H452U3BV5VY4S42UARU7LM,13,9,,0,,TRUE,13,1,0,https://github.com/OpenImageIO/oiio/graphs/contributors,"lgritz, edgarv",0,615,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,196,236,10010,0,0,dirty,FALSE,0,13,1,85,3,matekm,"lgritz, edgarv, matekm, inequation, fpsunflower, cmstein",{},3,0.39,https://github.com/OpenImageIO/oiio/pull/82,1,236,N,N,N,"Y,others","Rej, implemented.",0,6526,0,436,486,,0,2,486,ABFSVRWVFHZ6P
0,0,3VE8AYVF8NLKUP6ITPNCBRT5NDTF8M,18,0,,0,,TRUE,18,0,5,https://github.com/linuxmint/Cinnamon/graphs/contributors,"clefebvre, mtwebster, glebihan",0,468,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,28,400,10011,0,0,dirty,FALSE,0,18,0,897,2,autakper,"clefebvre, mtwebster, glebihan, dalcde, autarkper, josephmcc",cobinja,2,0.08,https://github.com/linuxmint/Cinnamon/pull/1003,48,400,N,"Y,others","Y,bug",N,"Rej, not sure.",0.77,4497,0,0,1881,,0,7,1882,AMZVZJL54O491
0,1,3XUHV3NRVLMLL3EMQH492SVR12Q5HT,9,0,,0,,FALSE,9,0,16,https://github.com/owncloud/apps/graphs/contributors,"tanghus, owncloud-bot, DeepDiver1975",0,373,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,26,382,10012,0,0,dirty,FALSE,0,9,0,192,4,raghunayyar,"tanghus, owncloud-bot, DeepDiver1975, icewind1991, BernhardPosselt, bartv2, MTGap, blizzz, #9arkascha, eMerzh",No external developers found,4,0.06,https://github.com/owncloud/apps/pull/1,1,382,"Y,core","Y,core","Y,inconsistency",N,"Rej, implemented.",0,4567,0,0,406,,1,18,406,AMZVZJL54O491
60,0,3WI0P0II62GTEA7I1SYME8LP1SDRDB,35,2,,1,,FALSE,35,11,0,https://github.com/jashkenas/backbone/graphs/contributors,"jashkenas, braddunbar, akre54",6,654,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1002,5640,10013,0,0,dirty,FALSE,0,35,11,73,16,{},"jashkenas, braddunbar, akre54, caseywebdev,jridgewell,tgriesser,","studgeek, RStankov, gydstedt, Blakewilliams, jergason, caseywebdev, khepin, philfreo, jdalton, thriesser, mfoster, gsamokovarov, thecloudlesssky, powmedia,",18,0.77,https://github.com/jashkenas/backbone/pull/697,5,5640,"Y,core|Y,others","Y,others",N,N,"Rej, implemented.",0.8,481,1,66,25732,,0,1,25732,AMZVZJL54O491
46,0,3SLE99ER0O1914VPXD1T5LZO8W1ZB3,16,2,,0,,TRUE,16,2,4,https://github.com/numpy/numpy/graphs/contributors,"charris, teoliphant, cournape",9,854,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,12,1783,10014,0,0,dirty,FALSE,0,16,2,1317,5,juliantaylor,"rgommers, jaimefrio, pv, certik, teoliphant, rkern, njsmith, stefanv, charris, cournape, ahaldane, seberg, mwiebe, juliantaylor",FreddieWitherden,5,0.13,https://github.com/numpy/numpy/pull/3306,5,1784,N,N,"Y,improve","Y, no value","Rej, not sure.",0.8,13845,0,55,3538,,0,11,3538,ABFSVRWVFHZ6P
0,0,3VHHR074H452U3BV5VY4S42U9QN7LC,14,0,35,1,,FALSE,14,0,11,https://github.com/appium/appium/graphs/contributors,"jlipps, bootstraponline, sebv",0,254,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,14,2346,10015,0,0,dirty,FALSE,0,14,0,762,5,tokunbo,"jlipps, bootstraponline, sebv,imurchie,sourishkrout,jonahss","penguinho, xuru, tokunbo",5,0.1,https://github.com/appium/appium/pull/793,2,2346,"Y,core","Y,core","Y,improve","Y, no value","Rej, not sure.",0.5,82,0,0,4341,,0,5,4341,AMZVZJL54O491
